Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
09.08.2004;33.9;33.95;33.26;33.6;1877470
10.08.2004;33.6;34.04;33.58;33.98;1758479
12.08.2004;33.62;33.88;33.24;33.48;1488829
13.08.2004;33.3;33.41;32.85;33.17;2493865
16.08.2004;32.94;33.8;32.85;33.75;1573022
17.08.2004;33.76;34.01;33.42;33.61;1992963
18.08.2004;33.7;33.76;33.25;33.61;1767354
19.08.2004;33.85;34.07;33.24;33.45;2039261
20.08.2004;33.35;33.4;33.04;33.25;1487235
23.08.2004;33.47;34.05;33.24;33.87;2117238
24.08.2004;33.47;34.43;33.24;34.14;2097028
25.08.2004;34.35;34.55;33.97;34.19;1566537
26.08.2004;34.45;34.71;34.42;34.47;1531192
27.08.2004;34.57;34.8;34.28;34.55;1404923
30.08.2004;34.6;34.64;34.02;34.31;1199687
31.08.2004;34.24;34.4;33.76;33.89;1499633
01.09.2004;34.22;34.5;34.08;34.25;1032254
02.09.2004;34.29;34.55;34.14;34.46;1361648
03.09.2004;34.42;34.85;34.34;34.58;1459513
06.09.2004;34.72;34.92;34.62;34.76;1185934
07.09.2004;34.72;34.86;34.58;34.82;1130832
08.09.2004;34.93;35.02;34.67;34.96;1482478
09.09.2004;34.87;35.00;34.39;34.48;1822983
10.09.2004;34.57;34.61;34.11;34.56;1925146
13.09.2004;34.65;35.39;34.61;35.3;1894873
14.09.2004;35.4;35.43;35.07;35.38;1669495
15.09.2004;35.34;35.39;34.56;34.72;2167459
16.09.2004;34.75;35.28;34.65;35.21;1573045
17.09.2004;35.15;35.46;34.94;35.23;2817317
20.09.2004;35.12;35.23;34.59;35.11;1317442
21.09.2004;35.08;35.19;34.7;34.78;1214075
22.09.2004;34.72;34.9;34.1;34.25;2278610
23.09.2004;34.28;34.28;33.45;33.6;2793770
24.09.2004;33.59;33.91;33.43;33.79;1390498
27.09.2004;33.85;33.86;33.4;33.59;1634023
28.09.2004;33.39;33.5;33.16;33.36;2228004
29.09.2004;33.42;33.96;33.38;33.71;2097169
30.09.2004;34.01;34.01;33.02;33.1;2516038
01.10.2004;33.26;34.2;33.14;34.02;3447714
04.10.2004;34.5;34.95;34.5;34.65;2204732
05.10.2004;34.7;35.04;34.45;34.81;1982630
06.10.2004;34.78;34.9;34.58;34.67;1525062
07.10.2004;34.99;35.2;34.7;34.82;2465703
08.10.2004;34.74;34.86;34.23;34.3;1978236
11.10.2004;34.3;34.38;34.07;34.23;1319015
12.10.2004;34.1;34.18;33.3;33.53;2647837
13.10.2004;33.68;34.37;33.64;33.75;2257255
14.10.2004;33.36;33.89;33.34;33.69;2511594
15.10.2004;33.68;34.08;33.4;33.85;3226286
18.10.2004;33.6;33.96;33.48;33.66;1582465
19.10.2004;33.75;34.39;33.75;34.00;1655192
20.10.2004;33.65;33.7;33.25;33.56;1791179
21.10.2004;33.74;33.91;33.31;33.54;1704229
22.10.2004;33.38;33.61;33.2;33.35;2538273
25.10.2004;32.9;32.94;32.05;32.38;3939341
26.10.2004;32.4;32.99;32.4;32.72;2179502
28.10.2004;33.77;34.09;33.6;33.69;2722827
29.10.2004;33.71;33.72;33.11;33.15;2237606
01.11.2004;33.14;33.88;33.03;33.73;1386150
02.11.2004;33.93;34.00;33.68;33.8;1563571
03.11.2004;33.5;33.5;32.71;33.01;5914973
04.11.2004;33.00;33.18;32.31;32.4;4449365
05.11.2004;32.79;32.91;32.25;32.35;4922693
08.11.2004;32.44;32.74;32.24;32.57;2491977
09.11.2004;32.69;32.79;32.55;32.55;2114671
12.11.2004;33.4;33.47;32.77;32.89;2833282
15.11.2004;32.93;33.36;32.68;32.76;2249725
16.11.2004;32.85;32.98;32.25;32.49;2888766
