,Original,Original,Original,Original,Original,Original,Original,Original,Scaled,Scaled,Scaled,Scaled,Scaled,Scaled,Scaled,Scaled
,Primary_Storage,Memory,Primary_Camera,Battery,Total_Resolution,Display_Refresh_Rate,Display_Size,Front_Camera,Primary_Storage,Memory,Primary_Camera,Battery,Total_Resolution,Display_Refresh_Rate,Display_Size,Front_Camera
Release_Date,,,,,,,,,,,,,,,,
2008,9.0,0.15,3.7,1247.0,184320.0,60.0,3.13,,0.002797402323518647,0.0,0.0,0.0,0.0,0.0,0.0,
2009,15.333333333333334,0.16333333333333336,5.133333333333334,1303.9333333333334,240384.0,60.0,3.3133333333333335,,0.05111616972974985,0.001953427431362044,0.02754085043896648,0.015746324703300507,0.021260963419592965,0.0,0.053095053095053135,
2010,8.633333333333333,0.43666666666666665,5.766666666666667,1387.6666666666667,353120.0,60.0,3.6966666666666668,0.3,0.0,0.04199868977428385,0.03971006342362607,0.038904853775133474,0.06401346006755303,0.0,0.16411198229380064,0.0
2011,10.685714285714285,0.6764285714285715,6.271428571428571,1558.7142857142858,430102.85714285716,60.0,3.968571428571429,1.0744186046511628,0.015658187031643345,0.07712550090609767,0.0494088346745578,0.08621231307109806,0.0932074117950437,0.0,0.24285815194906113,0.04385340252848447
2012,13.92,1.0366666666666666,7.32,1921.6,585890.9866666667,60.0,4.328,1.1746031746031746,0.04033345531909614,0.12990292418557559,0.0695566594807386,0.1865773532467182,0.1522864236923847,0.0,0.34695203786112905,0.049526605944391185
2013,11.384615384615385,1.0686813186813187,7.516483516483516,2038.5384615384614,757162.1978021978,60.0,4.571428571428571,1.311764705882353,0.02099029855339518,0.13459329664439543,0.07333200120715351,0.21891958367451136,0.21723703290296387,0.0,0.41745123563305375,0.05729372285827083
2014,11.360544217687075,1.1122448979591837,7.802721088435374,2179.7619047619046,851826.9387755102,60.0,4.756462585034014,1.8832061068702288,0.020806652903499562,0.14097566845212267,0.07883192643445978,0.25797842780884017,0.2531364263632742,0.0,0.4710388216881727,0.08965303038065475
2015,18.474474474474473,1.5960960960960962,9.612612612612613,2490.780780780781,1158348.6486486488,60.0,5.022222222222222,3.863914373088685,0.07508081207537233,0.21186328368747523,0.11360817186105406,0.3439984080895564,0.3693776303609178,0.0,0.5480053055810632,0.20181562095930053
2016,37.808510638297875,2.627659574468085,12.27127659574468,3009.8670212765956,1614690.319148936,60.0,5.267553191489362,5.781818181818182,0.22258556940539004,0.3629946133757066,0.164693195437966,0.4875645759794148,0.5424345575038715,0.0,0.6190554556125156,0.31042175106772424
2017,50.76744186046512,3.1511627906976742,12.261627906976743,3194.3488372093025,1842530.465116279,60.348837209302324,5.388953488372093,7.849707602339181,0.32145287207232365,0.43969152909989156,0.16450780025590334,0.5385875954559531,0.6288376148834092,0.007621809529120949,0.6542141203874821,0.4275211939244083
2018,72.88888888888889,4.065359477124183,13.862745098039216,3357.450980392157,2131497.3333333335,60.588235294117645,5.795424836601308,11.169934640522875,0.4902235647547982,0.5736277954693282,0.19527254148449147,0.5836975364341984,0.7384215549275933,0.012852463127537295,0.7719320357466528,0.6155374062376628
2019,102.47191011235955,4.794943820224719,25.252808988764045,3679.8595505617977,2130399.1235955055,62.02247191011236,6.1617977528089884,14.120689655172415,0.7159206892290846,0.6805170506671914,0.41412745737150897,0.6728676189813528,0.738005084517651,0.044189367607037955,0.878037069048305,0.782631335339042
2020,109.15555555555555,5.355555555555555,38.06111111111111,4271.705555555555,2274545.711111111,72.66666666666667,6.421111111111111,16.045454545454547,0.7669120854810063,0.7626506263275961,0.6602331781589444,0.8365573034482655,0.7926693133316574,0.27675637267963427,0.9531366501063472,0.8916259914582063
2021,129.0359712230216,6.179856115107913,48.24460431654676,4614.755395683454,2518896.9208633094,88.83453237410072,6.577697841726619,16.02058823529412,0.9185853245192409,0.8834164756813452,0.8559043851243872,0.9314362408967877,0.885333806269635,0.6300110990344416,0.9984856361573171,0.8902178740623768
2022,139.70731707317074,6.975609756097561,55.74390243902439,4862.658536585366,2821265.4146341463,105.76829268292683,6.582926829268292,17.95925925925926,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
